Mid;USD;COP;ARS;AUD;BRL;CAD;CHF;CLP;CNH;CNY;EUR;GBP;JPY;KRW;MXN;MYR;NOK;NZD;PEN;RUB;SEK;ZAR;DKK;CZK;CRC;HNL;GTQ;CLF;UVR;SGD;HKD;DOP;VEF;PLN;TRY;HUF;KWD;TTD;IDR;ILS;INR;PHP;PYG;THB;TWD;UYU;UDI;NIO;ANG;XCD;GYD;ETB;JMD;AED;QAR;BGN;MAD
USD;1;3784.7;1391.9764;1.381131;4.997009;1.372415;0.781918;891;6.7853;6.785165;0.854555;0.740198;157.947359;1491.72791;17.198342;3.931465;9.227482;1.686378;3.4149;73.4221;9.327038;16.406939;6.386002;20.76739;454.405;26.6075;7.62525;0.022096;9.220763;1.273372;7.83302;59.522;509.7675;3.621432;45.434712;305.443514;0.30635;6.7533;17464.997436;2.905315;95.767817;61.526235;6096.8;32.314989;31.527;40.074;1.9451;36.6243;1.79;2.7;209.2;157.2819;157.7135;3.6725;3.6455;1.671338;9.1992
COP;0.000264;1;0.36779;0.000365;0.00132;0.000363;0.000207;0.235422;0.001793;0.001793;0.000226;0.000196;0.041733;0.394147;0.004544;0.001039;0.002438;0.000446;0.000902;0.0194;0.002464;0.004335;0.001687;0.005487;0.120064;0.00703;0.002015;0.000006;0.002436;0.000336;0.00207;0.015727;0.134692;0.000957;0.012005;0.080705;0.000081;0.001784;4.614632;0.000768;0.025304;0.016257;1.610907;0.008538;0.00833;0.010588;0.000514;0.009677;0.000473;0.000713;0.055275;0.041557;0.041671;0.00097;0.000963;0.000442;0.002431
ARS;0.000718;2.71894;1;0.000992;0.00359;0.000986;0.000562;0.640097;0.004875;0.004874;0.000614;0.000532;0.11347;1.071662;0.012355;0.002824;0.006629;0.001211;0.002453;0.052747;0.006701;0.011787;0.004588;0.014919;0.326446;0.019115;0.005478;0.000016;0.006624;0.000915;0.005627;0.042761;0.366218;0.002602;0.03264;0.219432;0.00022;0.004852;12.546906;0.002087;0.0688;0.044201;4.379959;0.023215;0.022649;0.028789;0.001397;0.026311;0.001286;0.00194;0.15029;0.112992;0.113302;0.002638;0.002619;0.001201;0.006609
AUD;0.724044;2740.289531;1007.852236;1;3.618055;0.993689;0.566143;645.123252;4.912856;4.912758;0.618735;0.535936;114.360846;1080.076723;12.452357;2.846554;6.681104;1.221012;2.472538;53.160835;6.753186;11.879347;4.623747;15.036505;329.009238;19.265002;5.521017;0.015998;6.676239;0.921977;5.671452;43.09655;369.094127;2.622076;32.896733;221.15456;0.221811;4.889687;12645.427546;2.103576;69.340119;44.547704;4414.351788;23.397476;22.826937;29.015341;1.408338;26.517607;1.296039;1.954919;151.470016;113.879024;114.191522;2.659052;2.639503;1.210123;6.660626
BRL;0.20012;757.393064;278.561912;0.276392;1;0.274647;0.156477;178.306661;1.357872;1.357845;0.171013;0.148128;31.60838;298.524156;3.441727;0.786764;1.846601;0.337478;0.683389;14.693209;1.866524;3.283352;1.277965;4.155964;90.935396;5.324685;1.525963;0.004422;1.845256;0.254827;1.567542;11.911525;102.014524;0.72472;9.092381;61.125267;0.061307;1.351468;3495.090209;0.581411;19.165028;12.312612;1220.089844;6.466866;6.309174;8.019597;0.389253;7.329244;0.358214;0.540323;41.865043;31.475208;31.56158;0.73494;0.729536;0.334468;1.840941
CAD;0.728643;2757.693611;1014.25329;1.006351;3.641034;1;0.569738;649.220548;4.944059;4.94396;0.622665;0.53934;115.087173;1086.936488;12.531445;2.864633;6.723537;1.228767;2.488242;53.498469;6.796077;11.954795;4.653113;15.132005;331.098836;19.387358;5.556082;0.0161;6.718641;0.927833;5.707472;43.370264;371.438312;2.63873;33.105666;222.559153;0.22322;4.920742;12725.740971;2.116936;69.780511;44.830635;4442.388144;23.546077;22.971915;29.199623;1.417283;26.686025;1.30427;1.967335;152.43203;114.602291;114.916773;2.67594;2.656267;1.217808;6.702929
CHF;1.278907;4840.279716;1780.208506;1.766339;6.39071;1.755191;1;1139.50623;8.677768;8.677596;1.092896;0.946645;202;1907.781421;21.995082;5.027978;11.801093;2.156721;4.36734;93.900045;11.928415;20.982951;8.167104;26.559563;581.141783;34.028521;9.751986;0.028259;11.792499;1.628525;10.017705;76.123109;651.945277;4.631475;58.106776;390.63388;0.391793;8.636843;22336.10929;3.715628;122.478142;78.686339;7797.240831;41.327869;40.320104;51.250923;2.487602;46.839077;2.289244;3.453049;267.547366;201.148939;201.700916;4.696786;4.662256;2.137486;11.764922
CLP;0.001122;4.247699;1.562263;0.00155;0.005608;0.00154;0.000878;1;0.007615;0.007615;0.000959;0.000831;0.17727;1.674218;0.019302;0.004412;0.010356;0.001893;0.003833;0.082404;0.010468;0.018414;0.007167;0.023308;0.509994;0.029863;0.008558;0.000025;0.010349;0.001429;0.008791;0.066804;0.57213;0.004064;0.050993;0.34281;0.000344;0.007579;19.601568;0.003261;0.107484;0.069053;6.842649;0.036268;0.035384;0.044976;0.002183;0.041105;0.002009;0.00303;0.234792;0.176523;0.177007;0.004122;0.004091;0.001876;0.010325
CNH;0.147377;557.779317;205.145889;0.203548;0.736446;0.202263;0.115237;131.31328;1;0.99998;0.125942;0.109089;23.277874;219.847009;2.534647;0.579409;1.359923;0.248534;0.503279;10.82076;1.374595;2.418012;0.941153;3.060644;66.969036;3.921345;1.12379;0.003256;1.358932;0.187666;1.15441;8.772199;75.128218;0.533717;6.696051;45.015477;0.045149;0.995284;2573.946242;0.428178;14.114014;9.067578;898.530647;4.7625;4.646368;5.906003;0.286664;5.397595;0.263806;0.397919;30.831356;23.1798;23.243409;0.541244;0.537264;0.246318;1.355754
CNY;0.14738;557.790421;205.149973;0.203552;0.736461;0.202267;0.115239;131.315894;1.00002;1;0.125945;0.109091;23.278338;219.851385;2.534698;0.579421;1.35995;0.248539;0.503289;10.820975;1.374622;2.41806;0.941171;3.060705;66.970369;3.921423;1.123812;0.003257;1.358959;0.18767;1.154433;8.772373;75.129714;0.533728;6.696184;45.016373;0.04515;0.995304;2573.997481;0.428186;14.114295;9.067758;898.548534;4.762594;4.64646;5.90612;0.28667;5.397702;0.263811;0.397927;30.83197;23.180262;23.243871;0.541254;0.537275;0.246322;1.355781
EUR;1.1702;4428.85594;1628.890783;1.6162;5.8475;1.606;0.915;1042.6482;7.940158;7.94;1;0.86618;184.83;1745.62;20.1255;4.6006;10.798;1.9734;3.996116;85.918541;10.9145;19.1994;7.4729;24.302;531.744731;31.136096;8.923068;0.025857;10.790137;1.4901;9.1662;69.652644;596.529928;4.2378;53.1677;357.43;0.358491;7.902712;20437.54;3.3998;112.0675;71.998;7134.47536;37.815;36.892895;46.894595;2.276156;42.857756;2.094658;3.15954;244.80584;184.051279;184.556338;4.297559;4.265964;1.9558;10.764904
GBP;1.350989;5113.089589;1880.545364;1.865894;6.750906;1.854118;1.056362;1203.731557;9.166868;9.166686;1.154494;1;213.385209;2015.308596;23.234778;5.311367;12.466231;2.278279;4.613494;99.192479;12.60073;22.165601;8.627422;28.056524;613.896339;35.946451;10.301632;0.029851;12.457153;1.720312;10.582327;80.413591;688.69049;4.892517;61.381814;412.65095;0.413876;9.123637;23595.026438;3.92505;129.381306;83.121291;8236.712185;43.657208;42.592643;54.139549;2.62781;49.479041;2.418271;3.647671;282.626983;212.48618;213.069267;4.961509;4.925032;2.25796;12.428022
JPY;0.006331;23.961781;8.812913;0.008744;0.031637;0.008689;0.00495;5.64112;0.042959;0.042958;0.00541;0.004686;1;9.444462;0.108887;0.024891;0.058421;0.010677;0.02162;0.464852;0.059052;0.103876;0.040431;0.131483;2.87694;0.168458;0.048277;0.00014;0.058379;0.008062;0.049593;0.376847;3.227452;0.022928;0.287657;1.933831;0.00194;0.042757;110.574798;0.018394;0.606327;0.389536;38.600202;0.204593;0.199604;0.253717;0.012315;0.231877;0.011333;0.017094;1.324492;0.995787;0.998519;0.023251;0.02308;0.010582;0.058242
KRW;0.00067;2.537125;0.93313;0.000926;0.00335;0.00092;0.000524;0.597294;0.004549;0.004549;0.000573;0.000496;0.105882;1;0.011529;0.002636;0.006186;0.00113;0.002289;0.049219;0.006253;0.010999;0.004281;0.013922;0.304617;0.017837;0.005112;0.000015;0.006181;0.000854;0.005251;0.039901;0.34173;0.002428;0.030458;0.204758;0.000205;0.004527;11.707897;0.001948;0.064199;0.041245;4.087072;0.021663;0.021135;0.026864;0.001304;0.024552;0.0012;0.00181;0.14024;0.105436;0.105725;0.002462;0.002444;0.00112;0.006167
MXN;0.058145;220.061909;80.936662;0.080306;0.290552;0.079799;0.045465;51.807319;0.394532;0.394524;0.049688;0.043039;9.183871;86.736727;1;0.228596;0.536533;0.098055;0.19856;4.269138;0.542322;0.953984;0.371315;1.207523;26.421442;1.547097;0.443371;0.001285;0.536143;0.07404;0.455452;3.460915;29.640502;0.210569;2.641808;17.760056;0.017813;0.392672;1015.504708;0.16893;5.568433;3.577451;354.499285;1.87896;1.833142;2.330108;0.113098;2.129525;0.10408;0.156992;12.163963;9.145178;9.170273;0.213538;0.211968;0.09718;0.534889
MYR;0.254358;962.669204;354.06051;0.351302;1.27103;0.349085;0.198887;226.633091;1.725896;1.725862;0.217363;0.188275;40.175195;379.433117;4.374538;1;2.347085;0.428944;0.868608;18.675508;2.372408;4.173238;1.624332;5.282354;115.581605;6.767834;1.939544;0.00562;2.345376;0.323893;1.992392;15.139904;129.663507;0.921141;11.556688;77.69204;0.077923;1.717757;4442.364039;0.738991;24.359323;15.649698;1550.77063;8.21958;8.019149;10.193148;0.494752;9.315688;0.455301;0.686767;53.21172;40.00593;40.11571;0.93413;0.927263;0.425118;2.339891
NOK;0.108372;410.155208;150.851156;0.149676;0.541535;0.148731;0.084738;96.559381;0.735336;0.735321;0.09261;0.080217;17.117059;161.661419;1.863817;0.42606;1;0.182756;0.370079;7.956894;1.010789;1.778051;0.692063;2.250602;49.244743;2.883506;0.826363;0.002395;0.999272;0.137998;0.848879;6.450513;55.244483;0.392462;4.923847;33.1015;0.0332;0.731868;1892.715318;0.314855;10.378542;6.667716;660.721926;3.502037;3.416642;4.342896;0.210794;3.969046;0.193986;0.292604;22.671406;17.044942;17.091715;0.397996;0.39507;0.181126;0.996935
NZD;0.592987;2244.276852;825.423525;0.818993;2.96316;0.813824;0.463667;528.351171;4.023593;4.023513;0.50674;0.438928;93.660687;884.574845;10.198389;2.331306;5.471775;1;2.02499;43.538331;5.53081;9.729097;3.786815;12.314787;269.456132;15.777894;4.521672;0.013103;5.46779;0.755093;4.644877;35.295756;302.28536;2.147461;26.942181;181.123949;0.181661;4.004617;10356.511604;1.722813;56.789044;36.48424;3615.321455;19.162359;18.695092;23.76335;1.153419;21.717724;1.061446;1.601064;124.052823;93.266079;93.522012;2.177744;2.161733;0.991081;5.455003
PEN;0.292834;1108.29014;407.618495;0.404443;1.463296;0.40189;0.228972;260.9154;1.986969;1.986929;0.250243;0.216755;46.252411;436.829163;5.036265;1.151268;2.702124;0.49383;1;21.500512;2.731277;4.804515;1.870041;6.081405;133.06539;7.79159;2.232935;0.00647;2.700156;0.372887;2.293777;17.430086;149.277431;1.06048;13.304844;89.444351;0.08971;1.977598;5114.35106;0.850776;28.044106;18.016995;1785.352426;9.462939;9.232188;11.735043;0.569592;10.724853;0.524173;0.790653;61.260945;46.057542;46.183929;1.075434;1.067528;0.489425;2.693842
RUB;0.01362;51.54715;18.958548;0.018811;0.068059;0.018692;0.01065;12.135311;0.092415;0.092413;0.011639;0.010081;2.151224;20.317151;0.234239;0.053546;0.125677;0.022968;0.046511;1;0.127033;0.22346;0.086977;0.282849;6.18894;0.362391;0.103855;0.000301;0.125586;0.017343;0.106685;0.810682;6.942971;0.049323;0.618815;4.160103;0.004172;0.091979;237.871124;0.03957;1.304346;0.83798;83.037668;0.440126;0.429394;0.545803;0.026492;0.498818;0.02438;0.036774;2.849278;2.14216;2.148039;0.050019;0.049651;0.022763;0.125292
SEK;0.107215;405.777263;149.24099;0.148078;0.535755;0.147144;0.083833;95.528719;0.727487;0.727473;0.091621;0.07936;16.934353;159.935865;1.843923;0.421513;0.989326;0.180805;0.366129;7.871963;1;1.759073;0.684676;2.226579;48.71911;2.852728;0.817542;0.002369;0.988606;0.136525;0.839819;6.381661;54.65481;0.388272;4.87129;32.748179;0.032845;0.724056;1872.512712;0.311494;10.267763;6.596546;653.669464;3.464657;3.380173;4.296541;0.208544;3.926681;0.191915;0.289481;22.429414;16.863006;16.90928;0.393748;0.390853;0.179193;0.986294
ZAR;0.06095;230.676789;84.840713;0.08418;0.304567;0.083648;0.047658;54.306291;0.413563;0.413555;0.052085;0.045115;9.626863;90.92055;1.048236;0.239622;0.562413;0.102784;0.208138;4.475064;0.568481;1;0.389226;1.265769;27.695904;1.621722;0.464758;0.001347;0.562004;0.077612;0.477421;3.627855;31.070238;0.220726;2.769238;18.616728;0.018672;0.411612;1064.488474;0.177078;5.837031;3.750013;371.598871;1.969593;1.921565;2.442503;0.118554;2.232245;0.1091;0.164565;12.750703;9.586304;9.61261;0.223838;0.222193;0.101868;0.56069
DKK;0.156592;592.655588;217.973047;0.216275;0.782494;0.21491;0.122442;139.523906;1.062527;1.062506;0.133817;0.115909;24.73337;233.593384;2.693131;0.615638;1.444954;0.264074;0.534748;11.497349;1.460544;2.569203;1;3.252017;71.156409;4.166535;1.194057;0.00346;1.443902;0.199401;1.226592;9.320698;79.825761;0.567089;7.114735;47.83016;0.047972;1.057516;2734.887393;0.454951;14.996521;9.634546;954.713078;5.060284;4.936891;6.275287;0.304588;5.73509;0.280301;0.4228;32.759148;24.629164;24.696749;0.575086;0.570858;0.261719;1.440526
CZK;0.048152;182.242447;67.027026;0.066505;0.240618;0.066085;0.037651;42.903802;0.326729;0.326722;0.041149;0.035642;7.605547;71.830302;0.828142;0.18931;0.444326;0.081203;0.164436;3.535451;0.449119;0.790034;0.307501;1;21.880698;1.281215;0.367174;0.001064;0.444002;0.061316;0.377179;2.866128;24.546536;0.174381;2.187791;14.707843;0.014751;0.325188;840.981812;0.139898;4.611452;2.962637;293.575646;1.556045;1.518101;1.92966;0.093661;1.763549;0.086193;0.130012;10.073485;7.573503;7.594286;0.17684;0.17554;0.080479;0.442964
CRC;0.002201;8.328914;3.063295;0.003039;0.010997;0.00302;0.001721;1.960806;0.014932;0.014932;0.001881;0.001629;0.347592;3.282816;0.037848;0.008652;0.020307;0.003711;0.007515;0.161579;0.020526;0.036106;0.014054;0.045702;1;0.058555;0.016781;0.000049;0.020292;0.002802;0.017238;0.130989;1.121835;0.00797;0.099987;0.672183;0.000674;0.014862;38.434871;0.006394;0.210754;0.1354;13.417106;0.071115;0.069381;0.08819;0.004281;0.080598;0.003939;0.005942;0.460382;0.346127;0.347077;0.008082;0.008023;0.003678;0.020244
HNL;0.037583;142.241849;52.315189;0.051908;0.187805;0.05158;0.029387;33.486799;0.255015;0.255009;0.032117;0.027819;5.936197;56.064189;0.646372;0.147758;0.3468;0.06338;0.128344;2.759451;0.350542;0.616628;0.240008;0.780509;17.078079;1;0.286583;0.00083;0.346548;0.047858;0.294391;2.237038;19.15879;0.136106;1.70759;11.479602;0.011514;0.253812;656.393778;0.109192;3.599279;2.312364;229.138401;1.214507;1.184891;1.506117;0.073103;1.376465;0.067274;0.101475;7.862445;5.911187;5.927408;0.138025;0.13701;0.062815;0.345737
GTQ;0.131143;496.337825;182.548297;0.181126;0.655324;0.179983;0.102543;116.848628;0.889846;0.889829;0.112069;0.097072;20.713729;195.630033;2.255446;0.515585;1.210122;0.221157;0.447841;9.628812;1.223178;2.151659;0.837481;2.723503;59.592145;3.489394;1;0.002898;1.209241;0.166994;1.027248;7.805908;66.852562;0.474926;5.958455;40.056852;0.040176;0.88565;2290.416371;0.381012;12.559302;8.06875;799.554113;4.237892;4.134553;5.255434;0.255087;4.803029;0.234746;0.354087;27.435166;20.626458;20.68306;0.481624;0.478083;0.219185;1.206413
CLF;45.257082;171284.477982;62996.78998;62.505978;226.150048;62.111497;35.38731;40324.06;307.082878;307.076765;38.674656;33.499213;7148.236586;67511.25223;778.34678;177.92662;417.608931;76.320565;154.548409;3322.869995;422.114528;742.530182;289.011833;939.871479;20565.044315;1204.177807;345.096564;1;417.304829;57.629104;354.499628;2693.792031;23070.589513;163.895455;2056.242484;13823.482135;13.864507;305.634651;790414.819891;131.486094;4334.171961;2784.497851;275923.377113;1462.4821;1426.820022;1813.632301;88.029557;1657.508946;81.010177;122.194121;9467.78154;7118.119834;7137.652791;166.206633;164.984692;75.639891;416.328948
